timestamp,robot,solver,op,batch,n_dof,backend,t_med_ms,t_p95_ms,rel_err_max,peak_gpu_pct,avg_gpu_pct,peak_vram_mb,note
2026-08-18T03:41:49,panda,pyroffi_grid,ID,1,7,gpu,0.112,0.1339,1.461e-07,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,FD,1,7,gpu,0.1435,0.147,2.609e-07,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,CRBA,1,7,gpu,0.1873,0.1963,7.843e-08,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,MINV,1,7,gpu,0.0963,0.1081,2.37e-07,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,IDdu,1,7,gpu,0.1278,0.1339,,4.0,4.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,FDdu,1,7,gpu,0.1848,0.2025,,4.0,4.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,ID,16,7,gpu,0.1118,0.1364,1.169e-07,4.0,4.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,FD,16,7,gpu,0.1348,0.1445,2.852e-07,4.0,4.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,CRBA,16,7,gpu,0.185,0.1893,2.21e-07,2.0,2.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,MINV,16,7,gpu,0.1007,0.1015,2.634e-07,2.0,2.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,IDdu,16,7,gpu,0.1259,0.1373,,2.0,2.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,FDdu,16,7,gpu,0.1752,0.191,,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,ID,64,7,gpu,0.1231,0.1271,1.817e-07,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,FD,64,7,gpu,0.1492,0.1603,1.785e-07,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
2026-08-18T03:41:49,panda,pyroffi_grid,CRBA,64,7,gpu,0.1966,0.1966,2.28e-07,0.0,0.0,18777.0,pyroffi CUDA path (GRiD codegen via JAX FFI)
