robot,solver,op,backend,n,t_med_ms,t_p95_ms,rel_err_max,peak_vram_mb
baxter,frax,CRBA,gpu,1,0.2911,0.3041,0.002205,18825.0
baxter,grid_rbd,CRBA,gpu,1,0.1989,0.2069,1.745e-07,20089.0
baxter,mjx,CRBA,gpu,1,0.4654,0.4706,0.000335,18827.0
baxter,pinocchio,CRBA,cpu,1,2.746,2.8447,7.05e-16,
baxter,pyroffi_grid,CRBA,gpu,1,0.8363,0.8396,2.585e-07,18777.0
baxter,pyroffi_jax,CRBA,gpu,1,0.7924,0.7935,0.0009912,18809.0
baxter,rbdl,CRBA,cpu,1,0.5655,0.8057,3.12e-12,
fetch,frax,CRBA,gpu,1,0.1862,0.2032,0.001922,18823.0
fetch,grid_rbd,CRBA,gpu,1,0.1453,0.1558,2.184e-07,19027.0
fetch,mjx,CRBA,gpu,1,0.3035,0.322,4.483e-07,18825.0
fetch,pinocchio,CRBA,cpu,1,2.2187,2.236,6.344e-16,
fetch,pyroffi_grid,CRBA,gpu,1,0.2388,0.2434,2.396e-07,18777.0
fetch,pyroffi_jax,CRBA,gpu,1,0.9238,0.9427,2.807e-07,18801.0
fetch,rbdl,CRBA,cpu,1,0.368,0.4757,4.758e-16,
g1,frax,CRBA,gpu,1,0.4918,0.537,0.001178,18827.0
g1,grid_rbd,CRBA,gpu,1,0.3105,0.3154,1.488e-07,23751.0
g1,mjx,CRBA,gpu,1,0.8188,0.8247,0.0003004,18831.0
g1,pinocchio,CRBA,cpu,1,4.2082,4.2657,5.907e-16,
g1,pyroffi_grid,CRBA,gpu,1,3.0007,3.0111,2.221e-07,18777.0
g1,pyroffi_jax,CRBA,gpu,1,0.6028,0.6038,3.388e-07,18803.0
g1,rbdl,CRBA,cpu,1,1.1286,1.1419,3.544e-16,
panda,frax,CRBA,gpu,1,0.1787,0.1877,0.001426,18823.0
panda,grid_rbd,CRBA,gpu,1,0.1385,0.1448,2.664e-07,19027.0
panda,mjx,CRBA,gpu,1,0.3243,0.3349,7.961e-07,18827.0
panda,pinocchio,CRBA,cpu,1,2.1517,2.1829,6.264e-16,
panda,pyroffi_grid,CRBA,gpu,1,0.2376,0.2384,2.96e-07,18777.0
panda,pyroffi_jax,CRBA,gpu,1,0.2277,0.2294,5.005e-07,18799.0
panda,rbdl,CRBA,cpu,1,0.3571,0.374,5.22e-16,
baxter,brax,FD,gpu,1,1.0074,1.0221,0.0002626,18825.0
baxter,frax,FD,gpu,1,0.4727,0.4946,0.1254,18825.0
baxter,grid_rbd,FD,gpu,1,0.2809,0.2905,1.296e-07,20089.0
baxter,mjx,FD,gpu,1,0.8353,0.8461,0.003094,18827.0
baxter,pinocchio,FD,cpu,1,2.8618,2.9066,2.168e-15,
baxter,pyroffi_grid,FD,gpu,1,0.2622,0.2783,1.124e-07,18777.0
baxter,pyroffi_jax,FD,gpu,1,1.4022,1.4059,0.001409,18807.0
baxter,rbdl,FD,cpu,1,1.0484,1.0679,5.815e-12,
fetch,brax,FD,gpu,1,0.4784,0.4908,0.000129,18823.0
fetch,frax,FD,gpu,1,0.3618,0.3623,0.2252,18823.0
fetch,grid_rbd,FD,gpu,1,0.1756,0.1782,1.674e-06,19027.0
fetch,mjx,FD,gpu,1,0.5312,0.5404,3.056e-06,18825.0
fetch,pinocchio,FD,cpu,1,2.257,2.273,3.827e-15,
fetch,pyroffi_grid,FD,gpu,1,0.2001,0.2065,8.171e-07,18777.0
fetch,pyroffi_jax,FD,gpu,1,0.8143,0.821,5.344e-05,18801.0
fetch,rbdl,FD,cpu,1,0.6439,0.6901,2.887e-15,
g1,brax,FD,gpu,1,1.6101,1.6213,0.007119,18829.0
g1,frax,FD,gpu,1,0.7997,0.8347,2.395,18827.0
g1,grid_rbd,FD,gpu,1,0.4827,0.4897,7.339e-07,23751.0
g1,mjx,FD,gpu,1,1.4144,1.4815,0.007118,18831.0
g1,pinocchio,FD,cpu,1,4.4276,4.4634,1.086e-14,
g1,pyroffi_grid,FD,gpu,1,0.4516,0.4624,6.523e-07,18777.0
g1,pyroffi_jax,FD,gpu,1,0.9512,0.9568,8.248e-05,18801.0
g1,rbdl,FD,cpu,1,1.959,1.9686,1.076e-14,
panda,brax,FD,gpu,1,0.4918,0.4989,0.0005656,18823.0
panda,frax,FD,gpu,1,0.3533,0.3596,0.002486,18823.0
panda,grid_rbd,FD,gpu,1,0.1745,0.1842,3.017e-07,19027.0
panda,mjx,FD,gpu,1,0.5663,0.5775,1.694e-06,18825.0
panda,pinocchio,FD,cpu,1,2.2365,2.2601,2.376e-15,
panda,pyroffi_grid,FD,gpu,1,0.1531,0.1638,2.892e-07,18777.0
panda,pyroffi_jax,FD,gpu,1,0.3824,0.3917,1.408e-06,18799.0
panda,rbdl,FD,cpu,1,0.6631,0.6678,1.944e-15,
baxter,grid_rbd,FDdu,gpu,1,0.4429,0.4549,,20089.0
baxter,pyroffi_grid,FDdu,gpu,1,0.4132,0.4159,,18777.0
fetch,grid_rbd,FDdu,gpu,1,0.2386,0.2439,,19027.0
fetch,pyroffi_grid,FDdu,gpu,1,0.2261,0.2537,,18777.0
g1,grid_rbd,FDdu,gpu,1,1.3081,1.32,,23751.0
g1,pyroffi_grid,FDdu,gpu,1,1.2408,1.2494,,18777.0
panda,grid_rbd,FDdu,gpu,1,0.3161,0.3258,,19027.0
panda,pyroffi_grid,FDdu,gpu,1,0.2902,0.3,,18777.0
baxter,brax,ID,gpu,1,0.8335,0.839,6.426e-06,18825.0
baxter,frax,ID,gpu,1,0.362,0.385,0.001502,18825.0
baxter,grid_rbd,ID,gpu,1,0.237,0.2411,2.321e-07,20089.0
baxter,mjx,ID,gpu,1,0.6802,0.7028,0.0002135,18827.0
baxter,pinocchio,ID,cpu,1,2.4413,2.4715,5.129e-16,
baxter,pyroffi_grid,ID,gpu,1,0.188,0.2008,2.321e-07,18777.0
baxter,pyroffi_jax,ID,gpu,1,0.5662,0.5695,0.0005915,18803.0
baxter,rbdl,ID,cpu,1,0.5689,0.5818,3.667e-12,
fetch,brax,ID,gpu,1,0.3997,0.4081,1.825e-06,18823.0
fetch,frax,ID,gpu,1,0.2346,0.2427,0.001074,18823.0
fetch,grid_rbd,ID,gpu,1,0.1496,0.1538,2.028e-07,19027.0
fetch,mjx,ID,gpu,1,0.4352,0.4362,5.006e-07,18825.0
fetch,pinocchio,ID,cpu,1,2.0734,2.0842,4.486e-16,
fetch,pyroffi_grid,ID,gpu,1,0.1303,0.1327,2.028e-07,18777.0
fetch,pyroffi_jax,ID,gpu,1,0.4256,0.4304,0.0001424,18801.0
fetch,rbdl,ID,cpu,1,0.405,0.4127,2.99e-16,
g1,brax,ID,gpu,1,1.2831,1.304,0.0001417,18827.0
g1,frax,ID,gpu,1,0.6011,0.6496,0.0007824,18825.0
g1,grid_rbd,ID,gpu,1,0.3229,0.3539,1.588e-07,23751.0
g1,mjx,ID,gpu,1,1.0841,1.089,0.0001419,18829.0
g1,pinocchio,ID,cpu,1,3.5086,3.5275,4.283e-16,
g1,pyroffi_grid,ID,gpu,1,0.29,0.2943,1.588e-07,18777.0
g1,pyroffi_jax,ID,gpu,1,0.6689,0.6711,2.527e-07,18801.0
g1,rbdl,ID,cpu,1,0.9673,0.9726,4.283e-16,
panda,brax,ID,gpu,1,0.3845,0.3947,0.0001031,18823.0
panda,frax,ID,gpu,1,0.2361,0.244,0.0009156,18823.0
panda,grid_rbd,ID,gpu,1,0.1505,0.1535,2.547e-07,19025.0
panda,mjx,ID,gpu,1,0.454,0.4635,4.199e-07,18825.0
panda,pinocchio,ID,cpu,1,2.037,2.0609,5.059e-16,
panda,pyroffi_grid,ID,gpu,1,0.129,0.1311,2.547e-07,18777.0
panda,pyroffi_jax,ID,gpu,1,0.272,0.2862,2.875e-07,18799.0
panda,rbdl,ID,cpu,1,0.4046,0.4153,3.372e-16,
baxter,grid_rbd,IDdu,gpu,1,0.2998,0.3068,,20089.0
baxter,pyroffi_grid,IDdu,gpu,1,0.2592,0.2633,,18777.0
fetch,grid_rbd,IDdu,gpu,1,0.218,0.2239,,19027.0
fetch,pyroffi_grid,IDdu,gpu,1,0.1671,0.1745,,18777.0
g1,grid_rbd,IDdu,gpu,1,0.7411,0.7469,,23751.0
g1,pyroffi_grid,IDdu,gpu,1,0.6839,0.6964,,18777.0
panda,grid_rbd,IDdu,gpu,1,0.1729,0.1936,,19027.0
panda,pyroffi_grid,IDdu,gpu,1,0.1906,0.2214,,18777.0
baxter,grid_rbd,MINV,gpu,1,0.203,0.2086,2.446e-07,20089.0
baxter,pyroffi_grid,MINV,gpu,1,0.1876,0.1978,2.446e-07,18777.0
fetch,grid_rbd,MINV,gpu,1,0.1331,0.1416,1.631e-06,19027.0
fetch,pyroffi_grid,MINV,gpu,1,0.1306,0.1566,7.559e-07,18777.0
g1,grid_rbd,MINV,gpu,1,0.3819,0.3956,5.091e-06,23751.0
g1,pyroffi_grid,MINV,gpu,1,0.3357,0.3443,5.091e-06,18777.0
panda,grid_rbd,MINV,gpu,1,0.1334,0.1371,4.052e-07,19027.0
panda,pyroffi_grid,MINV,gpu,1,0.1227,0.1292,4.027e-07,18777.0
