robot,op,batch,brax,frax,grid_rbd,mjx,pinocchio,pyroffi_grid,pyroffi_jax,rbdl
baxter,CRBA,1,,0.0006158,6.853e-08,0.0001108,5.181e-16,5.007e-08,0.0007046,1.856e-12
baxter,CRBA,16,,0.001412,1.188e-07,0.000314,7.503e-16,2.2e-07,0.0009211,2.771e-12
baxter,CRBA,64,,0.00188,2.592e-07,0.0003678,6.085e-16,2.069e-07,0.000843,2.717e-12
baxter,CRBA,256,,0.002205,1.745e-07,0.000335,7.05e-16,2.585e-07,0.0009912,3.12e-12
baxter,CRBA,1024,,0.002191,2.654e-07,0.0004123,8.044e-16,2.873e-07,0.001067,2.958e-12
baxter,CRBA,4096,,0.002386,3.245e-07,0.0004656,8.063e-16,3.221e-07,0.001257,3.073e-12
baxter,FD,1,7.261e-07,0.00482,2.988e-07,0.0007272,9.285e-16,3.7e-07,0.000173,7.681e-12
baxter,FD,16,0.0001704,0.07673,2.83e-07,0.002027,2.065e-15,2.83e-07,0.001128,1.075e-11
baxter,FD,64,0.0002788,0.06066,1.712e-07,0.00216,1.978e-15,1.712e-07,0.001322,8.148e-12
baxter,FD,256,0.0002626,0.1254,1.296e-07,0.003094,2.168e-15,1.124e-07,0.001409,5.815e-12
baxter,FD,1024,0.0003423,0.1237,2.162e-07,0.002845,3.808e-15,1.786e-07,0.001434,8.178e-12
baxter,FD,4096,0.0002345,0.1372,2.223e-07,0.003268,3.235e-15,2.211e-07,0.00141,7.957e-12
baxter,ID,1,3.368e-07,0.0003949,1.506e-07,0.0001043,3.468e-16,1.506e-07,0.0003204,1.534e-12
baxter,ID,16,4.428e-06,0.0006222,1.119e-07,0.0001227,2.6e-16,1.119e-07,0.0006211,2.005e-12
baxter,ID,64,5.187e-06,0.001128,2.086e-07,0.0001362,5.178e-16,2.086e-07,0.0006505,2.735e-12
baxter,ID,256,6.426e-06,0.001502,2.321e-07,0.0002135,5.129e-16,2.321e-07,0.0005915,3.667e-12
baxter,ID,1024,5.461e-06,0.001162,2.565e-07,0.0001614,5.423e-16,2.565e-07,0.0007243,3.887e-12
baxter,ID,4096,5.944e-06,0.001284,2.784e-07,0.0001909,6.519e-16,2.784e-07,0.00104,2.476e-12
baxter,MINV,1,,,2.406e-07,,,2.406e-07,,
baxter,MINV,16,,,2.769e-07,,,2.769e-07,,
baxter,MINV,64,,,1.887e-07,,,1.887e-07,,
baxter,MINV,256,,,2.446e-07,,,2.446e-07,,
baxter,MINV,1024,,,2.74e-07,,,2.553e-07,,
baxter,MINV,4096,,,2.985e-07,,,3.11e-07,,
fetch,CRBA,1,,0.0009494,1.636e-07,7.927e-08,2.215e-16,1.636e-07,1.636e-07,2.215e-16
fetch,CRBA,16,,0.0009561,2.324e-07,5.212e-07,3.379e-16,1.476e-07,1.445e-07,1.689e-16
fetch,CRBA,64,,0.001306,2.059e-07,4.976e-07,4.94e-16,2.184e-07,2.059e-07,3.293e-16
fetch,CRBA,256,,0.001922,2.184e-07,4.483e-07,6.344e-16,2.396e-07,2.807e-07,4.758e-16
fetch,CRBA,1024,,0.002185,2.476e-07,5.428e-07,7.951e-16,2.605e-07,2.037e-07,4.771e-16
fetch,CRBA,4096,,0.002207,2.544e-07,6.302e-07,7.867e-16,2.846e-07,2.949e-07,4.72e-16
fetch,FD,1,8.535e-08,0.02065,1.316e-07,2.379e-06,9.289e-17,1.106e-07,1.387e-07,9.289e-17
fetch,FD,16,9.953e-05,0.188,1.124e-07,2.301e-06,7.411e-16,1.207e-07,1.321e-05,7.411e-16
fetch,FD,64,0.0002488,0.151,2.584e-07,2.289e-06,1.071e-15,2.584e-07,1.954e-05,8.33e-16
fetch,FD,256,0.000129,0.2252,1.674e-06,3.056e-06,3.827e-15,8.171e-07,5.344e-05,2.887e-15
fetch,FD,1024,0.0002454,0.8589,8.334e-07,4.642e-06,5.684e-15,6.504e-07,4.069e-05,5.753e-15
fetch,FD,4096,0.0002005,0.5489,8.542e-07,5.549e-06,3.077e-15,4.559e-07,4.038e-05,3.29e-15
fetch,ID,1,9.391e-08,0.0001647,1.288e-07,4.773e-08,1.773e-16,1.288e-07,1.917e-07,1.773e-16
fetch,ID,16,1.57e-06,0.0003466,1.426e-07,3.294e-07,3.157e-16,1.426e-07,0.0001762,3.157e-16
fetch,ID,64,1.07e-06,0.0007387,1.455e-07,3.048e-07,3.153e-16,1.455e-07,0.000132,3.153e-16
fetch,ID,256,1.825e-06,0.001074,2.028e-07,5.006e-07,4.486e-16,2.028e-07,0.0001424,2.99e-16
fetch,ID,1024,1.396e-06,0.0007654,2.366e-07,4.997e-07,3.497e-16,2.366e-07,0.0002361,3.497e-16
fetch,ID,4096,1.592e-06,0.001155,2.171e-07,4.568e-07,3.58e-16,2.171e-07,0.0001517,3.58e-16
fetch,MINV,1,,,5.436e-08,,,4.938e-08,,
fetch,MINV,16,,,1.822e-07,,,1.822e-07,,
fetch,MINV,64,,,2.498e-07,,,2.093e-07,,
fetch,MINV,256,,,1.631e-06,,,7.559e-07,,
fetch,MINV,1024,,,1.453e-06,,,8.134e-07,,
fetch,MINV,4096,,,1.567e-06,,,1.087e-06,,
g1,CRBA,1,,0.000234,8.762e-08,0.0002669,3.723e-16,1.542e-07,2.892e-07,2.482e-16
g1,CRBA,16,,0.0008477,2.73e-07,0.000229,4.766e-16,1.434e-07,2.664e-07,2.383e-16
g1,CRBA,64,,0.00106,1.928e-07,0.0002408,6.905e-16,1.928e-07,3.702e-07,2.762e-16
g1,CRBA,256,,0.001178,1.488e-07,0.0003004,5.907e-16,2.221e-07,3.388e-07,3.544e-16
g1,CRBA,1024,,0.001099,1.973e-07,0.0003003,6.979e-16,2.21e-07,3.481e-07,3.49e-16
g1,CRBA,4096,,0.001275,2.42e-07,0.0005023,7.1e-16,2.43e-07,3.921e-07,4.734e-16
g1,FD,1,0.0009864,0.05717,7.141e-08,0.0009867,1.831e-15,7.141e-08,5.502e-06,1.709e-15
g1,FD,16,0.006921,0.6389,3.374e-07,0.006829,1.166e-15,2.852e-07,8.802e-05,1.069e-15
g1,FD,64,0.007535,3.037,4.978e-07,0.007573,6.583e-15,2.201e-07,6.56e-05,6.834e-15
g1,FD,256,0.007119,2.395,7.339e-07,0.007118,1.086e-14,6.523e-07,8.248e-05,1.076e-14
g1,FD,1024,0.05614,,3.131e-06,0.09175,1.616e-14,3.153e-06,8.693e-05,1.619e-14
g1,FD,4096,0.03392,,3.478e-06,0.03392,4.742e-14,1.787e-06,0.0001691,4.822e-14
g1,ID,1,6.818e-05,4.274e-05,3.925e-08,6.818e-05,2.57e-16,3.925e-08,1.894e-07,3.856e-16
g1,ID,16,8.281e-05,0.0005097,2.14e-07,8.055e-05,4.937e-16,2.14e-07,3.285e-07,3.086e-16
g1,ID,64,0.0001366,0.000884,1.896e-07,0.0001376,3.641e-16,1.896e-07,3.109e-07,2.276e-16
g1,ID,256,0.0001417,0.0007824,1.588e-07,0.0001419,4.283e-16,1.588e-07,2.527e-07,4.283e-16
g1,ID,1024,0.0001143,0.0008516,2.144e-07,0.0001325,6.121e-16,2.144e-07,3.363e-07,3.06e-16
g1,ID,4096,0.0001107,0.0006831,2.411e-07,0.0001075,5.286e-16,2.411e-07,3.469e-07,4.111e-16
g1,MINV,1,,,1.01e-07,,,1.01e-07,,
g1,MINV,16,,,2.381e-07,,,1.799e-07,,
g1,MINV,64,,,2.431e-06,,,2.114e-07,,
g1,MINV,256,,,5.091e-06,,,5.091e-06,,
g1,MINV,1024,,,8.148e-06,,,7.008e-06,,
g1,MINV,4096,,,8.138e-06,,,6.383e-06,,
panda,CRBA,1,,0.0002514,2.344e-07,3.217e-07,5.36e-16,7.843e-08,3.483e-07,3.573e-16
panda,CRBA,16,,0.0009918,2.21e-07,6.821e-07,3.491e-16,2.21e-07,3.459e-07,3.491e-16
panda,CRBA,64,,0.001555,2.649e-07,7.984e-07,4.345e-16,2.28e-07,4.399e-07,4.345e-16
panda,CRBA,256,,0.001426,2.664e-07,7.961e-07,6.264e-16,2.96e-07,5.005e-07,5.22e-16
panda,CRBA,1024,,0.001661,3.27e-07,8.559e-07,6.237e-16,2.629e-07,5.444e-07,4.158e-16
