robot,op,batch,brax,frax,grid_rbd,mjx,pinocchio,pyroffi_grid,pyroffi_jax,rbdl
baxter,CRBA,1,,0.2389,0.1122,0.4079,0.0115,0.4045,0.4604,0.0026
baxter,CRBA,16,,0.2732,0.1187,0.451,0.17,0.4033,0.7411,0.0346
baxter,CRBA,64,,0.2727,0.1232,0.4352,0.6966,0.4074,0.9942,0.1383
baxter,CRBA,256,,0.2911,0.1989,0.4654,2.746,0.8363,0.7924,0.5655
baxter,CRBA,1024,,0.3976,0.4378,0.5585,11.0244,3.0491,0.9158,2.2756
baxter,CRBA,4096,,0.751,1.2645,0.9184,44.3226,11.8268,1.8666,9.0961
baxter,FD,1,0.7962,0.3672,0.1851,0.8307,0.0125,0.1624,1.0178,0.0044
baxter,FD,16,0.9061,0.4019,0.1932,0.7574,0.1793,0.1792,1.263,0.0647
baxter,FD,64,0.949,0.4423,0.1875,0.962,0.7236,0.1732,1.3104,0.2588
baxter,FD,256,1.0074,0.4727,0.2809,0.8353,2.8618,0.2622,1.4022,1.0484
baxter,FD,1024,1.2343,0.6517,0.7668,1.2571,11.4448,0.7325,1.4834,4.1972
baxter,FD,4096,2.1699,1.3886,2.5279,1.8311,46.0128,2.511,2.3387,16.7718
baxter,FDdu,1,,,0.2465,,,0.2331,,
baxter,FDdu,16,,,0.242,,,0.2249,,
baxter,FDdu,64,,,0.2563,,,0.2422,,
baxter,FDdu,256,,,0.4429,,,0.4132,,
baxter,FDdu,1024,,,1.0926,,,1.0581,,
baxter,FDdu,4096,,,3.8033,,,3.5644,,
baxter,ID,1,0.7051,0.2749,0.1436,0.6789,0.0102,0.1333,0.4467,0.0026
baxter,ID,16,0.7854,0.3021,0.1532,0.6525,0.153,0.1331,0.5704,0.035
baxter,ID,64,0.7869,0.3436,0.1555,0.7877,0.6108,0.1348,0.5952,0.1402
baxter,ID,256,0.8335,0.362,0.237,0.6802,2.4413,0.188,0.5662,0.5689
baxter,ID,1024,0.9662,0.4961,0.4534,1.0142,9.7135,0.4508,0.636,2.2541
baxter,ID,4096,1.4324,0.9338,1.1597,1.3656,39.0978,1.3552,0.9796,9.0192
baxter,IDdu,1,,,0.1808,,,0.1634,,
baxter,IDdu,16,,,0.1857,,,0.1632,,
baxter,IDdu,64,,,0.1862,,,0.165,,
baxter,IDdu,256,,,0.2998,,,0.2592,,
baxter,IDdu,1024,,,0.6486,,,0.5991,,
baxter,IDdu,4096,,,2.104,,,1.9223,,
baxter,MINV,1,,,0.1245,,,0.1176,,
baxter,MINV,16,,,0.1336,,,0.1193,,
baxter,MINV,64,,,0.1389,,,0.1383,,
baxter,MINV,256,,,0.203,,,0.1876,,
baxter,MINV,1024,,,0.5496,,,0.5173,,
baxter,MINV,4096,,,1.8506,,,1.7219,,
fetch,CRBA,1,,0.1393,0.0944,0.2819,0.0094,0.1938,0.2321,0.0018
fetch,CRBA,16,,0.1706,0.0978,0.3353,0.1366,0.1864,0.7078,0.023
fetch,CRBA,64,,0.1716,0.1002,0.2761,0.5573,0.1926,0.7655,0.0907
fetch,CRBA,256,,0.1862,0.1453,0.3035,2.2187,0.2388,0.9238,0.368
fetch,CRBA,1024,,0.2235,0.2709,0.3722,8.7384,0.6932,0.7331,1.4906
fetch,CRBA,4096,,0.379,0.7081,0.5488,35.1828,2.4686,1.0089,6.0114
fetch,FD,1,0.4089,0.2697,0.1514,0.4889,0.0092,0.1414,0.6083,0.0029
fetch,FD,16,0.471,0.2981,0.1551,0.5412,0.139,0.1398,0.804,0.0399
fetch,FD,64,0.4802,0.3113,0.1523,0.482,0.5687,0.1437,0.7975,0.1591
fetch,FD,256,0.4784,0.3618,0.1756,0.5312,2.257,0.2001,0.8143,0.6439
fetch,FD,1024,0.6402,0.4357,0.3609,0.6513,8.9058,0.4208,0.8895,2.6033
fetch,FD,4096,1.0617,0.741,1.021,0.9082,35.4556,1.2129,1.3071,10.3631
fetch,FDdu,1,,,0.1924,,,0.1764,,
fetch,FDdu,16,,,0.1953,,,0.18,,
fetch,FDdu,64,,,0.195,,,0.1877,,
fetch,FDdu,256,,,0.2386,,,0.2261,,
fetch,FDdu,1024,,,0.58,,,0.5529,,
fetch,FDdu,4096,,,1.862,,,1.8142,,
fetch,ID,1,0.3162,0.1708,0.1212,0.38,0.0085,0.111,0.2767,0.002
fetch,ID,16,0.3759,0.2067,0.1321,0.4205,0.1268,0.119,0.4585,0.025
fetch,ID,64,0.392,0.2115,0.1357,0.3935,0.5099,0.1214,0.4702,0.0989
fetch,ID,256,0.3997,0.2346,0.1496,0.4352,2.0734,0.1303,0.4256,0.405
fetch,ID,1024,0.505,0.2899,0.2668,0.5427,8.1913,0.2338,0.4669,1.6209
fetch,ID,4096,0.7965,0.4737,0.6512,0.7145,32.5541,0.6062,0.6168,6.4977
fetch,IDdu,1,,,0.1581,,,0.1326,,
fetch,IDdu,16,,,0.1433,,,0.1403,,
fetch,IDdu,64,,,0.1443,,,0.1434,,
fetch,IDdu,256,,,0.218,,,0.1671,,
fetch,IDdu,1024,,,0.4417,,,0.3417,,
fetch,IDdu,4096,,,1.2567,,,1.0054,,
fetch,MINV,1,,,0.112,,,0.099,,
fetch,MINV,16,,,0.1049,,,0.1024,,
fetch,MINV,64,,,0.1048,,,0.1028,,
fetch,MINV,256,,,0.1331,,,0.1306,,
fetch,MINV,1024,,,0.2655,,,0.2518,,
fetch,MINV,4096,,,0.7492,,,0.7129,,
g1,CRBA,1,,0.379,0.1555,0.5689,0.0174,1.3031,0.348,0.0046
g1,CRBA,16,,0.4327,0.1741,0.5664,0.2668,1.3127,0.4796,0.0677
g1,CRBA,64,,0.4418,0.1729,0.6208,1.0704,1.311,0.5012,0.2784
g1,CRBA,256,,0.4918,0.3105,0.8188,4.2082,3.0007,0.6028,1.1286
g1,CRBA,1024,,0.7179,0.9791,0.9561,16.8286,11.4104,0.9477,4.5604
g1,CRBA,4096,,1.5859,3.764,2.0877,68.3851,44.7348,2.4582,18.797
g1,FD,1,1.1015,0.5298,0.2626,0.9727,0.0177,0.2446,0.5068,0.0078
